pathway	cells	BTO	treatment	effect	time	comment	GSE	norm	GPL
GSE3720b	NFkB	expanded peripheral blood Vd2 gd T lymphocytes	BTO:0004729	treated with LPS 10 mg/mL	activating	4 h	3 week culture with Vd1 mab 0.1mg/mL, pan gd mAb 0.1 mg/mL, and IL-15 10ng/mL	GSE3720	log	GPL571
GSE3982	NFkB	macrophages derived from monocytes	BTO:0000801	treated with LPS	activating	4 h	2 replicates each	GSE3982	none	GPL96
GSE3982a	NFkB	Human CD16+, CCR3- peripheral blood neutrophils	BTO:0000130	treated with LPS 100 ng/ml	activating	1 h	NA	GSE3982	log	GPL96
GSE3982b	NFkB	Macrophages differentiated from isolated CD14+ monocytes in the presence of GM-CSF	BTO:0000801	treated with LPS 100 ng/ml	activating	4 h	NA	GSE3982	log	GPL96
GSE4748	NFkB	Monocyte derived dendritic cells	BTO:0002900	treated with LPS 0.5 �g/ml	activating	3 h	NA	GSE4748	nolog	GPL570
GSE5504a	NFkB	human peripheral blood derived monocytes	BTO:0000876	treated with LPS	activating	2 h	NA	GSE5504	nolog	GPL570
GSE5504b	NFkB	human peripheral blood derived monocytes	BTO:0000876	treated with LPS	activating	4 h	NA	GSE5504	nolog	GPL570
GSE5883	NFkB	HMVEC-L (Microvascular endothelial cells, lung)	BTO:0002828	treated with LPS 10 ng	activating	4 h	4 replicates each	GSE5883	log	GPL570
GSE7850a	NFkB	Retinal endothelial cell	BTO:0001175	treated with LPS 10 100 ng/mL	activating	4 h	three different patients 2 different tissues	GSE7850	nolog	GPL201
GSE7850b	NFkB	Choroidal endothelial cell	BTO:0000439	treated with LPS 10 100 ng/mL	activating	4 h	three different patients 2 different tissues	GSE7850	nolog	GPL201
GSE7850c	NFkB	Retinal endothelial cell	BTO:0001175	treated with LPS 10 100 ng/mL	activating	4 h	three different patients 2 different tissues	GSE7850	nolog	GPL201
GSE7850d	NFkB	Choroidal endothelial cell	BTO:0000439	treated with LPS 10 100 ng/mL	activating	4 h	three different patients 2 different tissues	GSE7850	nolog	GPL201
GSE7850e	NFkB	Retinal endothelial cell	BTO:0001175	treated with LPS 10 100 ng/mL	activating	4 h	three different patients 2 different tissues	GSE7850	nolog	GPL201
GSE7850f	NFkB	Choroidal endothelial cell	BTO:0000439	treated with LPS 10 100 ng/mL	activating	4 h	three different patients 2 different tissues	GSE7850	nolog	GPL201
GSE8190a	NFkB	epithelial cells	BTO:0000419	treated with LPS	activating	4 h	2 replicates each, 14 individuals	GSE8190	log	GPL1708
GSE8190c	NFkB	epithelial cells	BTO:0000419	treated with LPS	activating	4 h	2 replicates each, 14 individuals	GSE8190	log	GPL1708
GSE8190d	NFkB	epithelial cells	BTO:0000419	treated with LPS	activating	4 h	2 replicates each, 14 individuals	GSE8190	log	GPL1708
GSE8190e	NFkB	epithelial cells	BTO:0000419	treated with LPS	activating	4 h	2 replicates each, 14 individuals	GSE8190	log	GPL1708
GSE8190f	NFkB	epithelial cells	BTO:0000419	treated with LPS	activating	4 h	2 replicates each, 14 individuals	GSE8190	log	GPL1708
GSE8190g	NFkB	epithelial cells	BTO:0000419	treated with LPS	activating	4 h	2 replicates each, 14 individuals	GSE8190	log	GPL1708
GSE8190h	NFkB	epithelial cells	BTO:0000419	treated with LPS	activating	4 h	2 replicates each, 14 individuals	GSE8190	log	GPL1708
GSE8190i	NFkB	epithelial cells	BTO:0000419	treated with LPS	activating	4 h	2 replicates each, 14 individuals	GSE8190	log	GPL1708
GSE8190k	NFkB	epithelial cells	BTO:0000419	treated with LPS	activating	4 h	2 replicates each, 14 individuals	GSE8190	log	GPL1708
GSE8190l	NFkB	epithelial cells	BTO:0000419	treated with LPS	activating	4 h	2 replicates each, 14 individuals	GSE8190	log	GPL1708
GSE8608	NFkB	monocyte-derived macrophages of 13 male healthy subjects	BTO:0000801	treated with LPS 10ng/ml	activating	4 h	NA	GSE8608	nolog	GPL570
GSE9916	NFkB	THP-1 cell line	BTO:0001370	treated with 1 µg/ml LPS	activating	4 h	3 replicates each	GSE9916	normalized	GPL570
GSE9988a	NFkB	Human monocytes (donor 1)	BTO:0000876	treated with LPS	activating	2 h	10 anonymous donors in this set	GSE9988	log	GPL570
GSE9988b	NFkB	Human monocytes (donor 2)	BTO:0000876	treated with LPS	activating	2 h	10 anonymous donors in this set	GSE9988	log	GPL570
GSE9988c	NFkB	Human monocytes (donor 3)	BTO:0000876	treated with LPS	activating	2 h	10 anonymous donors in this set	GSE9988	log	GPL570
GSE9988d	NFkB	Human monocytes (donor 4)	BTO:0000876	treated with LPS	activating	2 h	10 anonymous donors in this set	GSE9988	log	GPL570
GSE9988e	NFkB	Human monocytes (donor 5)	BTO:0000876	treated with LPS	activating	2 h	10 anonymous donors in this set	GSE9988	log	GPL570
GSE9988f	NFkB	Human monocytes (donor 6)	BTO:0000876	treated with LPS	activating	2 h	10 anonymous donors in this set	GSE9988	log	GPL570
GSE9988g	NFkB	Human monocytes (donor 7)	BTO:0000876	treated with LPS	activating	2 h	10 anonymous donors in this set	GSE9988	log	GPL570
GSE9988h	NFkB	Human monocytes (donor 8)	BTO:0000876	treated with LPS	activating	2 h	10 anonymous donors in this set	GSE9988	log	GPL570
GSE9988i	NFkB	Human monocytes (donor 9)	BTO:0000876	treated with LPS	activating	2 h	10 anonymous donors in this set	GSE9988	log	GPL570
GSE9988j	NFkB	Human monocytes (donor 11)	BTO:0000876	treated with LPS	activating	2 h	10 anonymous donors in this set	GSE9988	log	GPL570
GSE10086a	PI3K	MDA468 cells	BTO:0001570	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086b	PI3K	H1650 cells	BTO:0005243	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086c	PI3K	A431 cells	BTO:0000017	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086d	PI3K	BT474 cells	BTO:0001932	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086e	PI3K	SKBR3 cells	BTO:0002419	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086f	PI3K	COLO205 cells	BTO:0000179	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086g	PI3K	HT29 cells	BTO:0000182	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086h	PI3K	MALME3M cells	BTO:0004162	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086i	PI3K	SKMEL1 cells	BTO:0002130	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086j	PI3K	SKMEL5 cells	BTO:0002134	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086k	PI3K	SKMEL19 cells	BTO:0002130	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE10086l	PI3K	SKMEL28 cells	BTO:0002130	treated with PD0325901, MEK inhibitor	activating	8 h	1 replicate each, mainly activating PI3K pathway, 12 different cell lines	GSE10086	none	GPL571
GSE14934c	PI3K	HEK-HT (kidney)	BTO:0000007	Ras (G12V,Y40C) activation mutants	activating	not specified	mutants said to be mostly activating PI3K	GSE14934	log	GPL571
GSE17785a	PI3K	MCF10A cells	BTO:0001939	PI3K activated mutants	activating	not indicated	3 replicates each	GSE17785	normalized	GPL570
GSE17785b	PI3K	MCF10A cells	BTO:0001939	treated with GDC-0941. a PI3K inhibitor	inhibiting	4 h	3 replicates each	GSE17785	normalized	GPL570
GSE26599	PI3K	HB4a cells	BTO:0003893	treated with rapamycin	inhibiting	not indicated	5 replicates each, rapamycin inhibits mTOR --> inhibition of PI3K pathway	GSE26599	none	GPL570
GSE3737	PI3K	PC3 (prostate cancer cell)	BTO:0001061	treatment with arachidonic acid (AA) should activate PI3K	activating	2 h	sveral microarrays! the ones taken from the same timeand microarray batch	GSE3737	log	GPL96
GSE6521b	PI3K	MCF-7 breast cancer cells	BTO:0000093	Treatment with U0126 (MEK inhibitor) + HRG (heregulin ErbB3 Ligand)	activating	0.75 h	besides PI3K also all non Raf Ras targets activated	GSE6521	log	GPL570
GSE6521c	PI3K	MCF-7 breast cancer cells	BTO:0000093	Treatment with U0126 (MEK inhibitor) + HRG (heregulin ErbB3 Ligand)	activating	1.5 h	besides PI3K also all non Raf Ras targets activated	GSE6521	log	GPL570
GSE7403b	PI3K	SH-SY5Y (Neuroblastoma cells)	BTO:0000793	PDGF treatment with 60 min prior U0126 treatment	activating	0.5 h	timeseries with 30, 60, 120, 240 min	GSE7403	log	GPL96
GSE7403d	PI3K	SH-SY5Y (Neuroblastoma cells)	BTO:0000793	PDGF treatment with 60 min prior U0126 treatment	activating	1 h	timeseries with 30, 60, 120, 240 min	GSE7403	log	GPL96
GSE7403f	PI3K	SH-SY5Y (Neuroblastoma cells)	BTO:0000793	PDGF treatment with 60 min prior U0126 treatment	activating	2 h	timeseries with 30, 60, 120, 240 min	GSE7403	log	GPL96
GSE7403h	PI3K	SH-SY5Y (Neuroblastoma cells)	BTO:0000793	PDGF treatment with 60 min prior U0126 treatment	activating	4 h	timeseries with 30, 60, 120, 240 min	GSE7403	log	GPL96
GSE7562a	PI3K	A431	BTO:0000017	PTEN hcRNA knockdown	activating	not specified (until log Phase)	NA	GSE7562	log	GPL570
GSE7562b	PI3K	HCC827	BTO:0004082	PTEN hcRNA knockdown	activating	not specified (until log Phase)	NA	GSE7562	log	GPL570
GSE7562c	PI3K	SKBR3	BTO:0002419	PTEN hcRNA knockdown	activating	not specified (until log Phase)	NA	GSE7562	log	GPL570
GSE15483a	PPAR	HUVECs	BTO:0001949	treated with 25 µmol fenofibrate, a PPARa ligand	activating	2 h	3 replicates each, timeseries	GSE15483	normalized	GPL4044
GSE15483b	PPAR	HUVECs	BTO:0001949	treated with 25 µmol fenofibrate, a PPARa ligand	activating	4 h	3 replicates each, timeseries	GSE15483	normalized	GPL4044
GSE15483c	PPAR	HUVECs	BTO:0001949	treated with 25 µmol fenofibrate, a PPARa ligand	activating	6 h	3 replicates each, timeseries	GSE15483	normalized	GPL4044
GSE16385a	PPAR	primary monocytes	BTO:0000876	treated with 1mM rosiglitazone, a PPARg agonist	activating	4 h	1 replicate each, differently activated macrophages	GSE16385	normalized	GPL570
GSE16385b	PPAR	primary IL4 activated monocytes	BTO:0000876	treated with 1mM rosiglitazone, a PPARg agonist	activating	4 h	1 replicate each, differently activated macrophages	GSE16385	normalized	GPL570
GSE16385c	PPAR	primary IFNg/TNFa activated monocytes	BTO:0000876	treated with 1mM rosiglitazone, a PPARg agonist	activating	4 h	1 replicate each, differently activated macrophages	GSE16385	normalized	GPL570
GSE16386a	PPAR	primary IL4 activated monocytes	BTO:0000876	treated with 100 ng/ml rosiglitazone, a PPARg agonist	activating	6 h	2 replicates each, 2 donors	GSE16386	normalized	GPL570
GSE16386b	PPAR	primary IL4 activated monocytes	BTO:0000876	treated with 100 ng/ml rosiglitazone, a PPARg agonist	activating	6 h	2 replicates each, 2 donors	GSE16386	normalized	GPL570
GSE17251a	PPAR	primary hepatocytes	BTO:0000575	treated with 50µM Wy14643, a PPARa agonist	activating	6 h	1 replicate each, 6 donors	GSE17251	log	GPL570
GSE17251b	PPAR	primary hepatocytes	BTO:0000575	treated with 50µM Wy14643, a PPARa agonist	activating	6 h	1 replicate each, 6 donors	GSE17251	log	GPL570
GSE17251c	PPAR	primary hepatocytes	BTO:0000575	treated with 50µM Wy14643, a PPARa agonist	activating	6 h	1 replicate each, 6 donors	GSE17251	log	GPL570
GSE17251d	PPAR	primary hepatocytes	BTO:0000575	treated with 50µM Wy14643, a PPARa agonist	activating	6 h	1 replicate each, 6 donors	GSE17251	log	GPL570
GSE17251e	PPAR	primary hepatocytes	BTO:0000575	treated with 50µM Wy14643, a PPARa agonist	activating	6 h	1 replicate each, 6 donors	GSE17251	log	GPL570
GSE17251f	PPAR	primary hepatocytes	BTO:0000575	treated with 50µM Wy14643, a PPARa agonist	activating	6 h	1 replicate each, 6 donors	GSE17251	log	GPL570
GSE25547	PPAR	HepG2 cells	BTO:0000599	treated with 100nM GW7647, a PPARa agonist	activating	6 h	3 replicates each	GSE25547	log	GPL570
GSE5258PPAR	PPAR	MCF7 cells	BTO:0000093	treated with 10µM rosiglitazone, a PPARg agonist	activating	6 h	2 replicates each	GSE5258	none	GPL3921
GSE8658a	PPAR	monocyte derived dendritic cells	BTO:0002900	treated with 1µM rosiglitazone, a PPARg agonist	activating	6 h	1 replicate each, 6 donors	GSE8658	none	GPL570
GSE8658b	PPAR	monocyte derived dendritic cells	BTO:0002900	treated with 1µM rosiglitazone, a PPARg agonist	activating	6 h	1 replicate each, 6 donors	GSE8658	none	GPL570
GSE8658c	PPAR	monocyte derived dendritic cells	BTO:0002900	treated with 1µM rosiglitazone, a PPARg agonist	activating	6 h	1 replicate each, 6 donors	GSE8658	none	GPL570
GSE8658d	PPAR	monocyte derived dendritic cells	BTO:0002900	treated with 1µM rosiglitazone, a PPARg agonist	activating	6 h	1 replicate each, 6 donors	GSE8658	none	GPL570
GSE8658e	PPAR	monocyte derived dendritic cells	BTO:0002900	treated with 1µM rosiglitazone, a PPARg agonist	activating	6 h	1 replicate each, 6 donors	GSE8658	none	GPL570
GSE8658f	PPAR	monocyte derived dendritic cells	BTO:0002900	treated with 1µM rosiglitazone, a PPARg agonist	activating	6 h	1 replicate each, 6 donors	GSE8658	none	GPL570
GSE14426a	RAR	pancreatic stellate cell line	BTO:0000183	treated with 1µM all-trans retinoid acid	activating	0.5 h	3 replicates each, part of timeseries, timeresolved controls	GSE14426	normalized	GPL6102
GSE14426b	RAR	pancreatic stellate cell line	BTO:0000183	treated with 1µM all-trans retinoid acid	activating	4 h	3 replicates each, part of timeseries, timeresolved controls	GSE14426	normalized	GPL6102
GSE14500a	RAR	HL60 neutrophil progenitor cells	BTO:0000738	treated with 1µM all-trans retinoid acid	activating	2 h	1 replicate each, part of timeseries, timerespective control	GSE14500	log	GPL8300
GSE14500b	RAR	HL60 neutrophil progenitor cells	BTO:0000738	treated with 1µM all-trans retinoid acid	activating	4 h	1 replicate each, part of timeseries, timerespective control	GSE14500	log	GPL8300
GSE19201	RAR	NB4 cells	BTO:0002136	treated with all-trans retinoid acid	activating	4 h	1 replicate each	GSE19201	normalized	GPL570
GSE22298a	RAR	primary epidermal karatinocytes	BTO:0000667	treated with 1µM all-trans retinoid acid	activating	1 h	1 replicate each, part of timeseries, timeresolved controls	GSE22298	none	GPL571
GSE22298b	RAR	primary epidermal karatinocytes	BTO:0000667	treated with 1µM all-trans retinoid acid	activating	4 h	1 replicate each, part of timeseries, timeresolved controls	GSE22298	none	GPL571
GSE24731	RAR	HL60 leukemia cells	BTO:0000738	treated with 100nM retinoid acid	activating	4 h	4 replicates each, contain control vector	GSE24731	log	GPL4133
GSE29213	RAR	NB4 leukemia cells	BTO:0002136	treated with 10nM retinoid acid	activating	4 h	4 replicates each, contain control vector	GSE29213	log	GPL10332
GSE13837a1	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	1 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837a2	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	2 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837a3	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	4 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837b1	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	1 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837b2	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	2 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837b3	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	4 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837c1	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	1 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837c2	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	2 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837c3	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	4 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837d1	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	1 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837d2	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	2 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837d3	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	4 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837e1	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	1 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837e2	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	2 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE13837e3	TGFb	primary synovial fibroblasts	BTO:0001336	treated with 10ng/ml TGF-beta	activating	4 h	1 replicate each, part of timeseries, several patients	GSE13837	none	GPL570
GSE14491	TGFb	MDA-MB-231 metastatic breast cell line	BTO:0000815	treated with 5µg/ml TGF-beta	activating	3 h	4 replicate each, transfected with shGFP	GSE14491	log	GPL570
GSE1724	TGFb	lung fibroblasts	BTO:0000764	treated with 4 ng/ml TGF-beta	activating	4 h	3 replicates each	GSE1724	none	GPL8300
GSE17708a	TGFb	A549 lung carcinoma cell line	BTO:0000018	treated with 5ng/ml TGF-beta	activating	0.5 h	3 replicates each, part of timeseries	GSE17708	log	GPL570
GSE17708b	TGFb	A549 lung carcinoma cell line	BTO:0000018	treated with 5ng/ml TGF-beta	activating	1 h	3 replicates each, part of timeseries	GSE17708	log	GPL570
GSE17708c	TGFb	A549 lung carcinoma cell line	BTO:0000018	treated with 5ng/ml TGF-beta	activating	2 h	3 replicates each, part of timeseries	GSE17708	log	GPL570
GSE17708d	TGFb	A549 lung carcinoma cell line	BTO:0000018	treated with 5ng/ml TGF-beta	activating	4 h	3 replicates each, part of timeseries	GSE17708	log	GPL570
GSE17860	TGFb	osteoblast cell line	BTO:0004324	treated with 10ng/ml TGF-beta	activating	6 h	3 replicates each	GSE17860	log	GPL4133
GSE1802a	TGFb	human umbilical cord blood CD34+ cells	BTO:0004053	treated with TGF-beta	activating	2 h	3 replicates each, part of timeseries	GSE1802	none	GPL96
GSE1802b	TGFb	human umbilical cord blood CD34+ cells	BTO:0004053	treated with TGF-beta	activating	4 h	4 replicates each, part of timeseries	GSE1802	none	GPL96
GSE1805a	TGFb	M091	BTO:0005491	treated with 10 ng/ml TGF-beta	activating	2 h	3 replicates each, part of timeseries	GSE1805	none	GPL8300
GSE1805b	TGFb	M091	BTO:0005491	treated with TGF-beta	activating	4 h	2 replicates each, part of timeseries	GSE1805	none	GPL8300
GSE23935a	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE23935b	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE23935c	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE23935d	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE23935e	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE23935f	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE23935g	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE23935h	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE23935i	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE23935j	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE23935k	TGFb	primary glioblastoma	BTO:0000527	treated with LY2109761, TGF-beta receptor inhibitor	inhibiting	3 h	1 replicate each	GSE23935	none	GPL570
GSE27526	TGFb	A2780	BTO:0002549	treated with 10ng/ml TGF-beta1	activating	3 h	3 replicates each	GSE27526	log	GPL570
GSE28590	TGFb	HepG2 hepatoblastoma cells	BTO:0000599	treated with 3ng/ml TGF-beta	activating	1.5 h	1 replicate each	GSE28590	none	GPL570
GSE30004a	TGFb	primary vascular smooth muscle cells	BTO:0001431	treated with 1ng/ml TGF-beta	activating	6 h	3 replicates each	GSE30004	none	GPL6244
GSE30004b	TGFb	primary vascular smooth muscle cells	BTO:0001431	treated with 1ng/ml TGF-beta	activating	6 h	3 replicates each	GSE30004	none	GPL6244
GSE30004c	TGFb	primary vascular smooth muscle cells	BTO:0001431	treated with 1ng/ml TGF-beta	activating	6 h	3 replicates each	GSE30004	none	GPL6244
GSE5150a	TGFb	CD34+ hematopoietic stem/progenitor cells	BTO:0000725	treated with TGF-beta	activating	2 h	1 replicate each, part of timeseries	GSE5150	none	GPL8300
GSE5150b	TGFb	CD34+ hematopoietic stem/progenitor cells	BTO:0000725	treated with TGF-beta	activating	4 h	1 replicate each, part of timeseries	GSE5150	none	GPL8300
GSE5151	TGFb	dendritic cells	BTO:0002042	treated with 10 ng/ml TGF-beta1	activating	4 h	1 replicate	GSE5151	none	GPL8300
GSE6653a	TGFb	IOSE - immortalized ovarian surface epithelial cells	BTO:0004130	treated with TGF-beta1	activating	3 h	2 replicates each, part of timeseries	GSE6653	none	GPL570
GSE6653b	TGFb	IOSE - immortalized ovarian surface epithelial cells	BTO:0004130	treated with TGF-beta1	activating	6 h	2 replicates each, part of timeseries	GSE6653	none	GPL570
GSE8730a	TGFb	odontoblasts	BTO:0001769	treated with TGF-beta1	activating	1 h	1 replicate	GSE8730	none	GPL570
GSE8730b	TGFb	pulp tissue	BTO:0000339	treated with TGF-beta1	activating	1 h	1 replicate, part of timeseries	GSE8730	none	GPL96
GSE8730c	TGFb	pulp tissue	BTO:0000339	treated with TGF-beta1	activating	5 h	1 replicate, part of timeseries	GSE8730	none	GPL96
GSE11115	TNFa	U3OS cells expressing additional estrogen receptor	BTO:0001938	treated with TNFa	activating	1h h	3-4 replicates each, doxycyline induction of ER expression	GSE11115	none	GPL96
GSE13206a	TNFa	HeLa cells	BTO:0000567	treated with 5 ng/ml TNFa	activating	1.5 h	1 replicate each, part of timeseries, shControl transfected	GSE13206	log	GPL7490
GSE13206b	TNFa	HeLa cells	BTO:0000567	treated with 5 ng/ml TNFa	activating	6 h	1 replicate each, part of timeseries, shControl transfected	GSE13206	log	GPL7490
GSE13837a	TNFa	synovial fibroblasts, female, age 65, rheumatoid arthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	1 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837b	TNFa	synovial fibroblasts, female, age 65, rheumatoid arthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	2 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837c	TNFa	synovial fibroblasts, female, age 65, rheumatoid arthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	4 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837d	TNFa	synovial fibroblasts, male, age 56, osteoarthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	1 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837e	TNFa	synovial fibroblasts, male, age 56, osteoarthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	2 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837f	TNFa	synovial fibroblasts, male, age 56, osteoarthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	4 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837g	TNFa	synovial fibroblasts, male, age 65, osteoarthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	1 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837h	TNFa	synovial fibroblasts, male, age 65, osteoarthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	2 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837i	TNFa	synovial fibroblasts, male, age 65, osteoarthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	4 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837j	TNFa	synovial fibroblasts, female, age 57, osteoarthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	1 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837k	TNFa	synovial fibroblasts, female, age 57, osteoarthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	2 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837l	TNFa	synovial fibroblasts, female, age 57, osteoarthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	4 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837m	TNFa	synovial fibroblasts, female, age 57, rheumatoid arthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	1 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837n	TNFa	synovial fibroblasts, female, age 57, rheumatoid arthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	2 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837o	TNFa	synovial fibroblasts, female, age 57, rheumatoid arthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	4 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837p	TNFa	synovial fibroblasts, female, age 67, rheumatoid arthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	1 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
GSE13837q	TNFa	synovial fibroblasts, female, age 67, rheumatoid arthritis	BTO:0001336	treated with TNFa 10 ng/ml	activating	2 h	always compared to the 0 h timepoint	GSE13837	log	GPL570
